CUSIP,h_opt ($),duration (yrs),h_curr ($),Delta ($),Spread (bps),Score,C1 charge ($)
BZ5735841,0.0,2.4415365666538444,1650165.0165016502,-1650165.0165016502,54.77889401,0.005477889401,0.0
ZD2045866,0.0,3.532816316452786,1650165.0165016502,-1650165.0165016502,51.98877333,0.005198877333,0.0
06418BAB4,0.0,1.9972066779888065,1650165.0165016502,-1650165.0165016502,31.4758908,0.00314758908,0.0
2027A1JZ1,0.0,2.835576402444968,1650165.0165016502,-1650165.0165016502,31.42197515,0.0031421975150000003,0.0
2027A0KK4,0.0,2.0052275460067337,1650165.0165016502,-1650165.0165016502,26.242504139999998,0.002624250414,0.0
2027A0JZ3,0.0,2.835576402444968,1650165.0165016502,-1650165.0165016502,31.42197515,0.0031421975150000003,0.0
21688AAY8,0.0,1.5705025187602377,1650165.0165016502,-1650165.0165016502,28.1839924,0.00281839924,0.0
24023KAF5,0.0,2.037447669350855,1650165.0165016502,-1650165.0165016502,22.9885289,0.00229885289,0.0
ZI8715974,0.0,1.525875551498609,1650165.0165016502,-1650165.0165016502,30.41550847,0.0030415508469999997,0.0
BU9235096,0.0,1.9972066779888065,1650165.0165016502,-1650165.0165016502,31.4758908,0.00314758908,0.0
ZL3159429,0.0,2.738796166953931,1650165.0165016502,-1650165.0165016502,67.43140027,0.006743140026999999,0.0
BT4580663,0.0,1.8768715524566872,1650165.0165016502,-1650165.0165016502,29.77231613,0.002977231613,0.0
49326EEG4,0.0,2.928761883090627,1650165.0165016502,-1650165.0165016502,88.48364538,0.008848364538,0.0
AZ1269218,0.0,3.8839243894797324,1650165.0165016502,-1650165.0165016502,85.76045116,0.008576045116,0.0
686330AP6,0.0,5.927882861954619,1650165.0165016502,-1650165.0165016502,80.70983056,0.008070983056,0.0
404280BH1,0.0,1.706299950224198,1650165.0165016502,-1650165.0165016502,64.64686137,0.006464686137,0.0
38141GES9,0.0,1.8293769225828962,1650165.0165016502,-1650165.0165016502,39.10005031,0.003910005031,0.0
65535HAQ2,0.0,4.340644200808857,1650165.0165016502,-1650165.0165016502,89.6072024,0.008960720240000001,0.0
AM6439740,0.0,1.9365582389734695,1650165.0165016502,-1650165.0165016502,93.88216525,0.009388216525,0.0
65535HAX7,0.0,5.645911019517888,1650165.0165016502,-1650165.0165016502,103.390676,0.0103390676,0.0
BR4616800,0.0,1.56729710518902,1650165.0165016502,-1650165.0165016502,103.5569884,0.01035569884,0.0
71644EAE2,0.0,1.2950332190877534,1650165.0165016502,-1650165.0165016502,64.72256021,0.0064722560209999995,0.0
ZM1977697,0.0,2.596963334151287,1650165.0165016502,-1650165.0165016502,76.74842035,0.007674842035000001,0.0
73730EAD5,0.0,2.598234995008234,1650165.0165016502,-1650165.0165016502,72.44078728,0.007244078728,0.0
00440FAA2,0.0,3.9820231453944666,1650165.0165016502,-1650165.0165016502,115.0048134,0.01150048134,0.0
